,np_call,np_args,total_np_calls,num_networkx_funs_used_by
0,testing.assert_almost_equal,decimal,26,20
1,array,dtype,13,10
2,testing.assert_allclose,atol,9,9
3,zeros,dtype,8,6
4,all,,4,4
5,linalg.norm,axis,4,3
6,sum,axis,3,3
7,std,abs,4,2
8,testing.assert_equal,weight,3,2
9,arange,dtype,2,2
10,argmax,axis,2,2
11,asarray,size,2,2
12,errstate,divide,2,2
13,testing.assert_allclose,weight,4,1
14,array,resolution,2,1
15,linalg.norm,,2,1
16,ndarray,order,2,1
17,allclose,atol,1,1
18,array,equidistant,1,1
19,array,scale,1,1
20,asarray,dtype,1,1
21,empty,dtype,1,1
22,full,dtype,1,1
23,identity,axis,1,1
24,identity,dtype,1,1
25,linalg.eigvals,weight,1,1
26,linalg.matrix_rank,hermitian,1,1
27,linalg.matrix_rank,tol,1,1
28,linalg.pinv,hermitian,1,1
29,linspace,dtype,1,1
30,linspace,endpoint,1,1
31,ndarray,dtype,1,1
32,random.RandomState,seed,1,1
33,set_printoptions,legacy,1,1
34,set_printoptions,precision,1,1
35,sort,weight,1,1
36,sqrt,offsets,1,1
37,testing.assert_allclose,rtol,1,1
38,testing.assert_equal,r,1,1
39,unique,return_counts,1,1
