,function_np,total_np_calls,num_networkx_funs_used_by,used_by_networkx
0,nan,6394,5569,True
1,array,170,92,True
2,testing.assert_equal,94,32,True
3,testing.assert_almost_equal,55,29,True
4,isclose,17,17,True
5,testing.assert_allclose,24,15,True
6,zeros,20,15,True
7,random.RandomState,15,11,True
8,sqrt,14,11,True
9,random.seed,15,10,True
10,linalg.norm,12,8,True
11,asarray,10,8,True
12,dtype,8,8,True
13,sum,10,7,True
14,float64,9,7,True
15,float32,8,7,True
16,int64,8,7,True
17,random.Generator,8,7,True
18,random,8,6,True
19,int32,6,6,True
20,ones,6,6,True
21,pi,7,5,True
22,arange,6,5,True
23,inf,6,5,True
24,abs,8,4,True
25,all,8,4,True
26,newaxis,6,4,True
27,random.random_sample,6,4,True
28,allclose,5,4,True
29,sin,5,4,True
30,eye,4,4,True
31,linalg.inv,4,4,True
32,array_equal,5,3,True
33,diag,5,3,True
34,std,5,3,True
35,argmax,4,3,True
36,cos,4,3,True
37,intp,4,3,True
38,linalg.eig,4,3,True
39,ndarray,4,3,True
40,outer,4,3,True
41,random.default_rng,4,3,True
42,uint8,4,3,True
43,argsort,3,3,True
44,column_stack,3,3,True
45,fill_diagonal,3,3,True
46,isinf,3,3,True
47,ix_,3,3,True
48,linalg.eigvals,3,3,True
49,nonzero,3,3,True
50,random.mtrand._rand,3,3,True
51,real,3,3,True
52,transpose,3,3,True
53,int_,4,2,True
54,mean,3,2,True
55,concatenate,2,2,True
56,empty,2,2,True
57,errstate,2,2,True
58,float16,2,2,True
59,full,2,2,True
60,identity,2,2,True
61,int16,2,2,True
62,int8,2,2,True
63,intc,2,2,True
64,linspace,2,2,True
65,random.rand,2,2,True
66,random.shuffle,2,2,True
67,set_printoptions,2,2,True
68,sort,2,2,True
69,uint16,2,2,True
70,uint32,2,2,True
71,uint64,2,2,True
72,einsum,3,1,True
73,iterable,3,1,True
74,append,2,1,True
75,atleast_2d,2,1,True
76,clip,2,1,True
77,min,2,1,True
78,absolute,1,1,True
79,arctan2,1,1,True
80,ceil,1,1,True
81,diag_indices,1,1,True
82,diff,1,1,True
83,dot,1,1,True
84,linalg.LinAlgError,1,1,True
85,linalg.det,1,1,True
86,linalg.eigh,1,1,True
87,linalg.matrix_power,1,1,True
88,linalg.matrix_rank,1,1,True
89,linalg.pinv,1,1,True
90,minimum,1,1,True
91,random.SFC64,1,1,True
92,random.normal,1,1,True
93,ravel,1,1,True
94,repeat,1,1,True
95,resize,1,1,True
96,row_stack,1,1,True
97,testing,1,1,True
98,unique,1,1,True
99,where,1,1,True
